"shape_id","route_id","via_variant","trp_direction","trip_headsign"
"420044","42","1","Inbound","Dudley Station via Washington St."
"4240040","424","6","Inbound","Wonderland via Western"
"4240041","424","_","Outbound","Eastern & Essex via Western Ave. (Express)"
"4260077","426","1","Outbound","West Lynn via Cliftondale"
"4260080","426","4","Outbound","Central Square via Summer St."
"4260082","426","2","Outbound","Central Square via Summer St."
"4260096","426","9","Outbound","Central Square via Cliftondale"
"4260123","426","_ou","Outbound","Central Square via Cliftondale"
"4260124","426","5ou","Outbound","Central Square via Cliftondale"
"4260125","426","7ou","Outbound","Central Square via Cliftondale"
"4260132","426","_","Inbound","Haymarket via Cliftondale"
"4260133","426","7","Inbound","Wonderland via Cliftondale"
"4260134","426","1","Inbound","Haymarket via Cliftondale"
"4260139","426","3","Outbound","Central Square via Summer St."
"4280019","428","_","Outbound","Oaklandvale via Cliftondale (Express)"
"4280020","428","_","Inbound","Haymarket via Cliftondale (Express)"
"4290127","429","_","Inbound","Central Square via Square One Mall & Myrtle St."
"4290128","429","_","Outbound","Northgate Shopping Center via Myrtle St. & Square One Mall"
"4290129","429","2","Outbound","Northgate Shopping Center via Myrtle St. & Square One Mall"
"4290130","429","2","Inbound","Central Square via Square One Mall & Myrtle St."
"4290131","429","4","Inbound","Central Square via Myrtle St."
"4290132","429","3","Outbound","Kings Lynn via Myrtle St."
"4290133","429","3","Inbound","Central Square via Myrtle St."
"4290134","429","5","Outbound","Kings Lynn via Myrtle St."
"4290136","429","1","Outbound","Northgate Shopping Center via Myrtle St."
"4290137","429","1","Inbound","Central Square via Myrtle St."
"4300043","430","1","Inbound","Malden Station via Square One Mall"
"4300044","430","1","Outbound","Saugus Center via Square One Mall"
"4300049","430","6","Outbound","Saugus Center"
"4300050","430","6","Inbound","Malden Station"
"4300051","430","2","Outbound","Saugus Center via Square One Mall"
"4300052","430","2","Inbound","Malden Station via Square One Mall"
"4300061","430","7","Outbound","Square One Mall"
"430029","43","_","Inbound","Park St. & Tremont St."
"430031","43","_","Outbound","Ruggles via Tremont St."
"4340026","434","_","Inbound","Haymarket via Goodwins Circle & Western Ave. (Express)"
"4340028","434","_","Outbound","Peabody Square via Western Ave. & Goodwins Circle (Express)"
"4350029","435","2","Inbound","Central Square via Euclid Ave."
"4350030","435","3","Inbound","Central Square via Pine Hill"
"4350048","435","3","Outbound","Peabody Square via Pine Hill"
"4350079","435","5","Outbound","Danvers Square via Malls & Euclid Ave."
"4350080","435","_","Outbound","Liberty Tree Mall via Euclid Ave. & North Shore Mall"
"4350081","435","6","Inbound","Neptune Towers via Central Sq"
"4350082","435","4","Inbound","Central Square via Malls & Euclid Ave."
"4350083","435","6","Outbound","Liberty Tree Mall via Euclid Ave. & North Shore Mall"
"4350084","435","4ou","Outbound","Liberty Tree Mall via Euclid Ave. & Danvers"
"4350085","435","_","Inbound","Central Square via Malls & Euclid Ave."
"4350086","435","1","Outbound","Liberty Tree Mall via Pine Hill & North Shore Mall"
"4350087","435","1","Inbound","Neptune Towers via Pine Hill and Central Sq"
"4360049","436","2","Inbound","Central Square via Wyoma & Lynnfield St."
"4360062","436","8","Inbound","West Lynn Garage via Central Square"
"4360063","436","9","Inbound","West Lynn Garage via Central Square"
"4360080","436","3","Inbound","Neptune Towers via Central Sq"
"4360104","436","_","Outbound","Liberty Tree via North Shore Mall & Lynnfield St."
"4360105","436","_","Inbound","Central Square, Lynn via Malls & Lynnfield St."
"4360106","436","2","Outbound","Goodwin Circle"
"4360107","436","3","Outbound","Goodwin Circle"
"4360108","436","1","Inbound","Central Square, Lynn via Centennial Park & Lynnfield St."
"4360109","436","1","Outbound","North Shore Mall via Centennial Park & Lynnfield St."
"4390041","439","3","Outbound","Nahant via Central Square"
"4390042","439","_","Outbound","Nahant via Castle Rd."
