old_route_id_short,via_variant,old_direction,new_direction,replace_route_id,new_route_id_short,replace_via_variant,new_via_variant
19,4,Inbound,Avenue Louis Pasteur,0,,0,
19,4,Outbound,Adams & Gallivan,0,,0,
194,_,Inbound,Haymarket via Sullivan,1,8993,0,
194,_,Outbound,Clarendon Hill via Sullivan,1,8993,0,
194,1,Inbound,Haymarket via Sullivan,1,8993,0,
194,1,Outbound,Clarendon Hill via Sullivan,1,8993,0,
19,5,Outbound,Adams & Gallivan,0,,0,
19,E,Inbound,Avenue Louis Pasteur,0,,0,
19,E,Outbound,Adams & Gallivan via Fields Corner,0,,0,
19,F,Outbound,Adams & Gallivan via Fields Corner,0,,0,
201,_,Inbound,Fields Corner via Adams St,0,,0,
201,_,Outbound,Adams & Gallivan via Neponset Ave,0,,0,
201,3,Outbound,Quincy Garage via Neponset Ave & Hancock St,0,,0,
201,7,Inbound,Fields Corner via Keystone Apts,0,,0,
201,7,Outbound,North Quincy via Neponset Ave & Puritan Mall,0,,0,
201,8,Inbound,Fields Corner via Adams St,0,,0,
201,8,Outbound,Keystone Apts via Neponset Ave,0,,0,
201,9,Inbound,Fields Corner via Adams St,0,,1,8
201,9,Outbound,Keystone Apts via Neponset Ave & Puritan Mall,0,,0,
201,A,Inbound,Avenue Louis Pasteur via Fields Corner,0,,1,1
202,_,Outbound,Adams & Gallivan,0,,0,
202,3,Inbound,Fields Corner via Neponset Ave,0,,0,
202,4,Inbound,Fields Corner via Neponset Ave,0,,0,
202,4,Outbound,Hallet Square via Adams St,0,,0,
202,5,Inbound,Fields Corner via Neponset Ave & Puritan Mall,0,,0,
202,5,Outbound,Keystone Apts via Adams St,0,,0,
202,6,Inbound,Fields Corner via Neponset Ave,0,,0,
202,6,Outbound,Keystone Apts via Adams St,0,,1,5
202,7,Inbound,Fields Corner via Neponset Ave,0,,0,
202,7,Outbound,North Quincy via Adams St & Keystone Apts,0,,0,
202,8,Outbound,Quincy Garage via Hancock St,0,,0,
202,A,Outbound,Adams & Gallivan,0,,0,
21,_,Inbound,Forest Hills,0,,0,
21,_,Outbound,Ashmont,0,,0,
21,1,Inbound,Avenue Louis Pasteur via Forest Hills,0,,0,
21,2,Outbound,Ashmont via Forest Hills,0,
21,A,Outbound,Ashmont,0,,0,
21,B,Inbound,Avenue Louis Pasteur via Forest Hills,0,,0,
210,_,Inbound,North Quincy,0,,0,
210,_,Outbound,Quincy Center,0,,0,
210,1,Outbound,Braintree,0,,0,
210,3,Inbound,Fields Corner,0,,0,
210,3,Outbound,Quincy Center,0,,0,
211,_,Outbound,Quincy Center,0,,0,
211,_,Inbound,Squantum,0,,0,
211,1,Inbound,Squantum,0,,0,
211,2,Outbound,Quincy Center,0,,0,
211,2,Inbound,Squantum,0,,0,
211,3,Inbound,Squantum,0,,0,
211,7,Outbound,Quincy Center via Billings Rd,0,,0,
211,7,Inbound,Squantum via Billings Rd,0,,0,
211,8,Outbound,Quincy Center via Billings Rd,0,,0,
211,8,Inbound,Squantum via Billings Rd,0,,0,
211,9,Inbound,Squantum,0,,0,
212,2,Inbound,North Quincy,0,,0,
212,2,Outbound,Quincy Center,0,,0,
212,5,Inbound,North Quincy,0,,0,
214,_,Inbound,Quincy Center,0,,0,
214,_,Outbound,Germantown,0,,0,
214,1,Inbound,Quincy Center via Coddington,0,,0,
214,1,Outbound,Germantown via Coddington,0,,0,
214,2,Inbound,Quincy Center via McGrath,0,,0,
214,2,Outbound,Germantown via McGrath,0,,0,
214,3,Outbound,Germantown,0,,0,
214,4,Outbound,Germantown,0,,0,
215,_,Inbound,North Quincy,0,,0,
215,_,Outbound,Quincy Center,0,,0,
215,1,Inbound,Ashmont,0,,0,
215,1,Outbound,Quincy Center,0,,0,
215,2,Outbound,Quincy Center,0,,0,
215,3,Inbound,Fields Corner,0,,0,
215,3,Outbound,Quincy Center,0,,0,
215,4,Inbound,Ashmont,0,,0,
215,7,Inbound,East Milton,0,,0,
216,_,Inbound,Quincy Center,0,,0,
216,_,Outbound,Houghs Neck,0,,0,
216,1,Outbound,Houghs Neck,0,,0,
216,2,Inbound,Quincy Center,0,,1,_
216,2,Outbound,Houghs Neck via Germantown,1,214216,0,
216,3,Outbound,Houghs Neck,0,,0,
216,4,Inbound,Quincy Center via McGrath,0,,0,
216,4,Outbound,Houghs Neck via McGrath & Germantown,1,214216,0,
217,6,Outbound,Quincy Center,0,,0,
217,7,Inbound,Ashmont,0,,0,
